epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4402,2.77551,3.66065,2.1005,0.00548,0.31081,0.00253,0.0007,1.61393,3.7358,1.35615,0.00012,0.00012,0.00012
2,40.4628,2.02583,3.02,1.55733,0.00976,0.55405,0.02803,0.00632,1.87432,3.55008,1.38706,0.000257426,0.000257426,0.000257426
3,58.9755,1.68617,1.83434,1.25356,0.0081,0.45946,0.01322,0.00563,1.78363,3.32129,1.45044,0.00039208,0.00039208,0.00039208
4,77.9676,1.43239,1.53714,1.20096,0.00667,0.37838,0.00953,0.00202,1.86705,3.57396,1.62237,0.000523962,0.000523962,0.000523962
5,96.2165,1.35593,1.43311,1.21108,0.01571,0.89189,0.05318,0.01508,1.67947,3.25775,1.47309,0.000653072,0.000653072,0.000653072
6,113.668,1.36905,1.39703,1.25183,0.01643,0.93243,0.12036,0.03487,1.65962,3.05093,1.43536,0.00077941,0.00077941,0.00077941
7,130.677,1.26669,1.31327,1.18159,0.41891,0.08789,0.2008,0.04449,1.67592,3.02935,1.39252,0.000902976,0.000902976,0.000902976
8,148.412,1.48366,1.39083,1.27039,0.68664,0.06757,0.45769,0.16516,1.52946,2.6113,1.24719,0.00102377,0.00102377,0.00102377
9,165.156,1.3986,1.29511,1.25219,0.57367,0.39189,0.48267,0.10944,1.87791,2.51773,1.6089,0.00114179,0.00114179,0.00114179
10,182.041,1.36435,1.26604,1.24761,0.51906,0.32432,0.45159,0.11254,1.78321,2.50698,1.5266,0.00125704,0.00125704,0.00125704
11,199.645,1.19722,1.17317,1.14961,0.71207,0.6016,0.67821,0.29492,1.57393,2.06355,1.31075,0.00136952,0.00136952,0.00136952
12,217.185,1.30284,1.19562,1.16422,0.59972,0.7289,0.59347,0.28347,1.57268,1.97286,1.31,0.00147923,0.00147923,0.00147923
