epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6757,2.78417,2.31676,0.79036,3.16394,2.18445,0.6382,0.75676,0.7929,0.2232,0.64898,0.79952,0.82496,0.55371,2.24901,1.14364,0.73055,1.30686,1.8508,0.00012,0.00012,0.00012
2,43.2853,1.87827,1.73169,0.70507,1.25721,1.42309,0.94661,0.87838,0.93113,0.49884,0.97474,0.90541,0.97629,0.72502,1.39048,1.08704,0.72737,1.50882,1.12852,0.000258713,0.000258713,0.000258713
3,62.155,1.50702,1.13473,0.66341,1.0522,1.20494,0.97366,1,0.9894,0.58888,0.97366,1,0.9894,0.75486,1.27472,1.034,0.72037,1.52642,1.10111,0.00039604,0.00039604,0.00039604
4,80.9296,1.35452,1.01389,0.65522,0.79186,1.15992,0.98432,1,0.99327,0.64774,0.98432,1,0.99327,0.71072,1.07965,0.9575,0.70272,1.0169,1.05801,0.000531981,0.000531981,0.000531981
5,99.141,1.28238,0.86254,0.59106,0.79306,1.10581,0.90822,0.93243,0.9676,0.60315,0.94556,0.95946,0.98724,0.73361,1.23305,0.89029,0.67987,1.4694,1.05956,0.000666536,0.000666536,0.000666536
6,117.347,1.27102,0.80993,0.55085,0.83735,1.08771,0.86924,0.9882,0.97313,0.64825,0.86924,0.9882,0.97313,0.75648,1.00058,0.81556,0.62683,1.12603,0.98911,0.000799705,0.000799705,0.000799705
7,134.654,1.37082,0.82562,0.50971,0.82494,1.0918,0.8806,1,0.97965,0.62843,0.8806,1,0.97965,0.81271,1.05548,0.80268,0.60369,1.33536,1.01356,0.000931488,0.000931488,0.000931488
8,153.687,1.20296,0.74605,0.50826,0.8143,1.07693,0.78211,1,0.90597,0.58203,0.78512,1,0.92084,0.77433,1.02602,0.78156,0.55235,1.14468,1.02729,0.00106188,0.00106188,0.00106188
9,174.334,1.1916,0.70875,0.47543,0.80265,1.03976,0.72307,0.91892,0.89401,0.46719,0.85275,0.93243,0.96476,0.80081,1.19614,0.76133,0.5013,1.78624,1.10294,0.0011909,0.0011909,0.0011909
10,195.283,1.168,0.74232,0.423,0.76422,1.02205,0.94414,0.98649,0.98552,0.64518,0.9862,0.96544,0.99344,0.773,1.1108,0.7323,0.46713,0.90589,1.01516,0.00131852,0.00131852,0.00131852
11,217.158,1.09215,0.73158,0.39921,0.74396,1.03185,0.88883,0.9724,0.98336,0.65975,0.88883,0.9724,0.98336,0.81495,1.11329,0.70747,0.377,0.89457,1.05754,0.00144476,0.00144476,0.00144476
12,239.183,1.10701,0.70564,0.37138,0.68285,1.01086,0.88093,0.99976,0.97291,0.70678,0.88093,0.99976,0.97291,0.8144,0.94973,0.6832,0.3193,1.10749,0.97443,0.00156961,0.00156961,0.00156961
13,262.088,1.09386,0.65651,0.32608,0.80609,1.02324,0.95433,0.98649,0.96246,0.53642,0.96757,1,0.99312,0.81814,1.29654,0.72777,0.24046,1.29741,1.13957,0.00169308,0.00169308,0.00169308
14,282.018,1.23016,0.70834,0.26815,0.73174,1.06191,0.95433,0.98649,0.96246,0.53642,0.96757,1,0.99312,0.81814,1.29654,0.72777,0.24046,1.29741,1.13957,0.00181516,0.00181516,0.00181516
15,302.183,1.07273,0.72397,0.26374,0.74823,1.018,1,0.99901,0.995,0.73178,1,0.99901,0.995,0.78542,0.86912,0.7071,0.19837,0.58699,0.94347,0.0018614,0.0018614,0.0018614
16,322.229,0.9715,0.63028,0.23256,0.65505,0.99214,0.99878,1,0.995,0.72136,0.99878,1,0.995,0.8255,0.88344,0.62108,0.16428,0.71074,0.96135,0.0018515,0.0018515,0.0018515
