epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4743,2.78417,2.31676,0.79036,3.16394,2.18445,0.6382,0.75676,0.7929,0.2232,0.64898,0.79952,0.82496,0.55371,2.24901,1.14364,0.73055,1.30686,1.8508,0.00012,0.00012,0.00012
2,34.5328,1.87911,1.73297,0.70518,1.25729,1.42363,0.94698,0.87838,0.93091,0.49863,0.97611,0.90541,0.97642,0.72513,1.39097,1.0865,0.72745,1.51175,1.12935,0.000257426,0.000257426,0.000257426
3,51.7434,1.5064,1.13646,0.66351,1.05171,1.20471,0.97367,0.99945,0.9894,0.58938,0.97367,0.99945,0.9894,0.75419,1.27378,1.03396,0.72045,1.51208,1.10064,0.00039208,0.00039208,0.00039208
4,68.1428,1.35456,1.01526,0.65551,0.79177,1.15882,0.98429,1,0.99327,0.65486,0.98429,1,0.99327,0.71044,1.07555,0.96389,0.70316,1.00061,1.05368,0.000523962,0.000523962,0.000523962
5,84.8332,1.28281,0.86171,0.59182,0.79318,1.10309,0.87676,0.93243,0.95936,0.5975,0.91031,0.95946,0.98021,0.72847,1.24539,0.89638,0.6805,1.43131,1.06382,0.000653072,0.000653072,0.000653072
6,101.124,1.27223,0.80838,0.55231,0.83529,1.08927,0.86808,1,0.97403,0.6424,0.86808,1,0.97403,0.77335,0.99849,0.81307,0.62894,1.12823,0.98853,0.00077941,0.00077941,0.00077941
7,117.584,1.36718,0.82635,0.50959,0.81999,1.0887,0.86884,1,0.97924,0.6527,0.86884,1,0.97924,0.81751,1.02304,0.79937,0.60733,1.3039,0.99811,0.000902976,0.000902976,0.000902976
8,134.685,1.21658,0.74514,0.50943,0.82621,1.07642,0.80376,1,0.92881,0.59282,0.80376,1,0.93998,0.79146,1.02797,0.78229,0.55864,1.17964,1.01896,0.00102377,0.00102377,0.00102377
9,152.229,1.21428,0.70548,0.48306,0.79925,1.04768,0.77243,0.91738,0.90062,0.48925,0.8264,0.95946,0.9635,0.79627,1.16853,0.75249,0.5096,1.65097,1.0973,0.00114179,0.00114179,0.00114179
10,167.875,1.13519,0.7385,0.43113,0.75606,1.01417,0.95922,0.95369,0.97241,0.66684,0.97241,0.94595,0.99227,0.77191,1.08041,0.72273,0.47636,0.87763,1.00278,0.00125704,0.00125704,0.00125704
11,183.904,1.06436,0.73779,0.40823,0.72526,1.0237,0.90136,0.98793,0.98116,0.66927,0.90136,0.98793,0.98116,0.80963,1.05287,0.69267,0.3839,0.87598,1.01235,0.00136952,0.00136952,0.00136952
